MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_OLD,VALUE_NEW
M1,BELEG,M1V1060839P36,11952,VBAK,M1V1060839,LIFSK,U,ZA,nan
M1,BELEG,M1V375393P2141,11976,VBAK,M1V375393,LIFSK,U,ZA,nan
M1,BELEG,M1V299727P3,12013,VBAK,M1V299727,LIFSK,U,ZA,nan
M1,BELEG,M1V375357P36,12030,VBAK,M1V375357,LIFSK,U,ZA,nan
M1,BELEG,M1V375451P3,12109,VBAK,M1V375451,LIFSK,U,ZA,nan
M1,BELEG,M1V375438P1427,12116,VBAK,M1V375438,LIFSK,U,ZA,nan
M1,BELEG,M1V299617P36,12124,VBAK,M1V299617,LIFSK,U,ZA,nan
M1,BELEG,M1V374406P28,12132,VBAK,M1V374406,LIFSK,U,ZA,nan
M1,BELEG,M1V374385P28,12139,VBAK,M1V374385,LIFSK,U,ZA,nan
M1,BELEG,M1V374389P28,12147,VBAK,M1V374389,LIFSK,U,ZA,nan
M1,BELEG,M1V375274P18,12154,VBAK,M1V375274,LIFSK,U,ZA,nan
M1,BELEG,M1V377506P44,12162,VBAK,M1V377506,LIFSK,U,ZA,nan
M1,BELEG,M1V377545P12,12200,VBAK,M1V377545,LIFSK,U,ZA,nan
M1,BELEG,M1V377456P3,12208,VBAK,M1V377456,LIFSK,U,ZA,nan
M1,BELEG,M1V376617P44,12216,VBAK,M1V376617,LIFSK,U,ZA,nan
M1,BELEG,M1V377484P3134,12229,VBAK,M1V377484,LIFSK,U,ZA,nan
M1,BELEG,M1V377616P3,12251,VBAK,M1V377616,LIFSK,U,ZA,nan
M1,BELEG,M1V377568P3,12301,VBAK,M1V377568,LIFSK,U,ZA,nan
M1,BELEG,M1V376439P36,12338,VBAK,M1V376439,LIFSK,U,ZA,nan
M1,BELEG,M1V376419P18,12346,VBAK,M1V376419,LIFSK,U,ZA,nan
M1,BELEG,M1V376547P44,12359,VBAK,M1V376547,LIFSK,U,ZA,nan
M1,BELEG,M1V376523P12,12366,VBAK,M1V376523,LIFSK,U,ZA,nan
M1,BELEG,M1V372199P18,12382,VBAK,M1V372199,LIFSK,U,ZA,nan
M1,BELEG,M1V372140P51,12390,VBAK,M1V372140,LIFSK,U,ZA,nan
M1,BELEG,M1V299370P1427,12398,VBAK,M1V299370,LIFSK,U,ZA,nan
M1,BELEG,M1V372152P865,12410,VBAK,M1V372152,LIFSK,U,ZA,nan
M1,BELEG,M1V371185P3,12432,VBAK,M1V371185,LIFSK,U,ZA,nan
M1,BELEG,M1V299272P60,12439,VBAK,M1V299272,LIFSK,U,ZA,nan
M1,BELEG,M1V371145P3,12446,VBAK,M1V371145,LIFSK,U,ZA,nan
M1,BELEG,M1V372110P160,12478,VBAK,M1V372110,LIFSK,U,ZA,nan
M1,BELEG,M1V372110P60,12485,VBAK,M1V372110,LIFSK,U,ZA,nan
M1,BELEG,M1V371257P51,12501,VBAK,M1V371257,LIFSK,U,ZA,nan
M1,BELEG,M1V373389P51,12562,VBAK,M1V373389,LIFSK,U,ZA,nan
M1,BELEG,M1V299599P12,12600,VBAK,M1V299599,LIFSK,U,ZA,nan
